Organisation unit name,MFL- County Name,MFL- Facility Code,MFL- Facility Name,MFL- Facility Ownership,MFL- Facility Type,MFL-Coordinates,MFL-District Code,MFL-Facility Operating Status,MFL-Funding Source,MFL-Location,MFL-Region,MFL-Reporting Status
Gar-Bain District,Nimba,LBR-33-3321-14,H&E Grace Medical Center,Private,Health Center,"[-8.971389,7.199220]",3312,Active,Private,Urband,North Central Region,Reporting
Gar-Bain District,Nimba,LBR-33-3321-15,Magkie Medical clinic,Private,Clinic,"[-8.992222,7.225830]",3312,Active,Private,Urband,North Central Region,Reporting
Gar-Bain District,Nimba,LBR-33-3321-10,Yenglee Medical Hospital,Private,Hospital,"[-8.990556,7.205556]",3312,Active,Private,Urband,North Central Region,Reporting
Gar-Bain District,Nimba,LBR-33-3321-03,Ganta Rehabilitation,Public,Hospital,"[-8.974950,7.236230]",3321,Active,GOL,Urband,North Central Region,Reporting
Gar-Bain District,Nimba,LBR-33-3321-11,Newman Christian Clinic,Private,Clinic,"[-8.768644,7.102660]",3312,Active,Private,Urband,North Central Region,Reporting
Gar-Bain District,Nimba,LBR-33-3321-05,Bomah Clinic,Private,Clinic,"[-8.987315,7.234721]",3312,Active,Private,Urband,North Central Region,Reporting
Gar-Bain District,Nimba,LBR-33-3321-07,Evening Star Clinic,Private,Clinic,"[-8.986067,7.232214]",3312,Active,Private,Urband,North Central Region,Reporting
Garwula District,Grand Cape Mount,LBR-12-1202-01,Sinje Health Center,Public,Health Center,"[-11.136550,6.818050]",1208,Active,GOL,Urband,Northwestern Region,Reporting
Garwula District,Grand Cape Mount,LBR-12-1202-02,Bendu Community Clinic,Public,Clinic,"[-11.211870,6.762030]",1202,Active,GOL,Rural,Northwestern Region,Reporting
Garwula District,Grand Cape Mount,LBR-12-1202-03,Bomboja Clinic,Public,Clinic,"[-11.085830,6.622140]",1203,Active,GOL,Rural,Northwestern Region,Reporting
Garwula District,Grand Cape Mount,LBR-12-1202-04,Jundu Clinic,Public,Clinic,"[-11.131300,6.706170]",1202,Active,GOL,Rural,Northwestern Region,Reporting
Garwula District,Grand Cape Mount,LBR-12-1202-08,Zaway Clinic,Public,Clinic,"[-11.128630,6.874400]",1202,Active,GOL,Rural,Northwestern Region,Reporting
Garwula District,Grand Cape Mount,LBR-12-1202-05,Karnga Clinic,Public,Clinic,"[-11.065120,6.881460]",1202,Active,GOL,Rural,Northwestern Region,Reporting
Garwula District,Grand Cape Mount,LBR-12-1202-06,Kpeneji,Public,Clinic,"[-11.248320,6.930080]",1202,Active,GOL,Rural,Northwestern Region,Reporting
Garwula District,Grand Cape Mount,LBR-12-1202-07,Madina Community Clinic,Public,Clinic,"[-11.065490,6.717180]",1202,Active,GOL,Rural,Northwestern Region,Reporting
Gbao District,Grand Gedeh,LBR-15-1502-01,Gbarzon Health Center,Public,Health Center,"[-8.440230,6.226780]",1502,Active,GOL,Rural,Southeastern A Region,Reporting
Gbao District,Grand Gedeh,LBR-15-1502-03,Gbo-Geewon Community Clinic,Public,Clinic,"[-8.838517,5.832247]",1502,Active,GOL,Rural,Southeastern A Region,Reporting
Gbao District,Grand Gedeh,LBR-15-1502-04,Polar Town Clinic,Public,Clinic,"[-8.566870,6.162580]",1502,Active,GOL,Rural,Southeastern A Region,Reporting
Gbao District,Grand Gedeh,LBR-15-1502-02,Gbarzon Jarwodee Clinic,Public,Clinic,"[-8.598390,6.113140]",1502,Active,GOL,Rural,Southeastern A Region,Reporting
Gbarma District,Gbarpolu,LBR-45-4510-04,Yangaya Clinic,Public,Clinic,"[-10.760170,7.110560]",4510,Active,GOL,Rural,Northwestern Region,Reporting
Gbarma District,Gbarpolu,LBR-45-4510-01,Gbarma Clinic,Public,Clinic,"[-10.789380,6.992810]",4510,Active,GOL,Rural,Northwestern Region,Reporting
Gbarma District,Gbarpolu,LBR-45-4510-02,Tarkpoima Clinic,Public,Clinic,"[-10.676930,7.170520]",4510,Active,GOL,Rural,Northwestern Region,Reporting
Gbarma District,Gbarpolu,LBR-45-4510-03,Weasua Clinic,Public,Clinic,"[-10.508460,7.317640]",4510,Active,GOL,Rural,Northwestern Region,Reporting
Gbeapo District,RiverGee,LBR-42-4208-03,Pronoken Clinic,Public,Clinic,"[-7.967580,5.184430]",4208,Active,GOL,Rural,Southeastern B Region,Reporting
Gbeapo District,RiverGee,LBR-42-4208-04,St Kizito Clinic,Faith Based,Clinic,"[-8.013350,5.230760]",4208,Active,Donor,Urband,Southeastern B Region,Reporting
Gbeapo District,RiverGee,LBR-42-4208-02,Drugbo Clinic,Public,Clinic,"[-8.018542,5.166047]",4208,Active,GOL,Rural,Southeastern B Region,Reporting
Gbeapo District,RiverGee,LBR-42-4208-01,Gbeapo Health Center,Public,Health Center,"[-8.013860,5.234660]",4208,Active,GOL,Urband,Southeastern A Region,Reporting
Gbehlay-Geh District,Nimba,LBR-33-3308-05,Loguatuo Clinic,Public,Clinic,"[-8.365780,7.258060]",3308,Active,GOL,Rural,North Central Region,Reporting
Gbehlay-Geh District,Nimba,LBR-33-3308-01,Karnplay Health Center,Public,Health Center,"[-8.504240,7.264290]",3308,Active,GOL,Rural,North Central Region,Reporting
Gbehlay-Geh District,Nimba,LBR-33-3308-07,Zorgowee Clinic,Public,Clinic,"[-8.578460,7.342540]",3308,Active,GOL,Rural,North Central Region,Reporting
Gbehlay-Geh District,Nimba,LBR-33-3308-06,Youhnlay Clinic,Public,Clinic,"[-8.447400,7.341090]",3308,Active,GOL,Rural,North Central Region,Reporting
Gbehlay-Geh District,Nimba,LBR-33-3308-02,Duoplay Clinic,Public,Clinic,"[-8.424890,6.717147]",3308,Active,GOL,Rural,North Central Region,Reporting
Gbehlay-Geh District,Nimba,LBR-33-3308-03,Give Them Hope Clinic,Faith Based,Clinic,"[-8.969080,7.226350]",3308,Active,Donor,Rural,North Central Region,Reporting
Gbehlay-Geh District,Nimba,LBR-33-3308-04,Goagortuo Clinic,Public,Clinic,"[-8.444451,7.469356]",3308,Active,GOL,Rural,North Central Region,Reporting
Gblonee District,Sinoe,LBR-39-3905-02,Togbaville Clinic,Public,Clinic,"[-9.219417,5.496018]",3905,Active,GOL,Rural,Southeastern A Region,Reporting
Gblonee District,Sinoe,LBR-39-3905-01,Dr. Alexander P. Tokpah Clinic,Public,Clinic,"[-9.349418,5.214750]",3905,Active,GOL,Rural,Southeastern A Region,Reporting
Gibi District,Margibi,LBR-24-2404-01,Massaquoi Town Health Center,Public,Health Center,"[-10.179203,6.675618]",2404,Active,GOL,Rural,South Central Region,Reporting
Gibi District,Margibi,LBR-24-2404-02,Salala Rubber Corporation Health Center,Concession,Health Center,"[-10.128321,6.654526]",2024,Active,Donor,Rural,South Central Region,Reporting
Gibi District,Margibi,LBR-24-2404-07,Worhn Clinic,Public,Clinic,"[-10.018420,6.597130]",2404,Active,GOL,Rural,South Central Region,Reporting
Gibi District,Margibi,LBR-24-2404-03,Peter's Town Clinic,Public,Clinic,"[-10.128321,6.601070]",2404,Active,GOL,Rural,South Central Region,Reporting
Gibi District,Margibi,LBR-24-2404-06,Wolola Clinic,Public,Clinic,"[-10.279480,6.552360]",2404,Active,GOL,Rural,South Central Region,Reporting
Gibi District,Margibi,LBR-24-2404-04,Yarnwullie Clinic,Public,Clinic,"[-10.187250,6.570570]",2404,Active,GOL,Rural,South Central Region,Reporting
Gola konneh District,Grand Cape Mount,LBR-12-1204-02,Beh Gondoh Clinic,Public,Clinic,"[-10.768423,7.139580]",1204,Active,GOL,Rural,Northwestern Region,Reporting
Gola konneh District,Grand Cape Mount,LBR-12-1204-04,Joseph J. Jarbo Memorial Clinic,Private,Clinic,"[-10.778170,7.139742]",1204,Active,Private,Rural,Northwestern Region,Reporting
Gola konneh District,Grand Cape Mount,LBR-12-1204-03,Fred Care Clinic,Private,Clinic,"[-10.784504,7.135738]",1204,Active,Private,Rural,Northwestern Region,Reporting
Gola konneh District,Grand Cape Mount,LBR-12-1204-05,Kinjor Clinic,Public,Clinic,"[-11.115990,7.008612]",1204,Active,GOL,Rural,Northwestern Region,Reporting
Gola konneh District,Grand Cape Mount,LBR-12-1204-06,Lofa Bridge Health Center,Public,Clinic,"[-10.882480,7.069520]",1204,Active,GOL,Rural,Northwestern Region,Reporting
Gola konneh District,Grand Cape Mount,LBR-12-1204-09,Varguaye Clinic,Public,Clinic,"[-10.958760,7.159990]",1204,Active,GOL,Rural,Northwestern Region,Reporting
Gola konneh District,Grand Cape Mount,LBR-12-1204-07,Mbaloma Clinic,Public,Clinic,"[-10.998160,6.958980]",1204,Active,GOL,Rural,Northwestern Region,Reporting
Gola konneh District,Grand Cape Mount,LBR-12-1204-08,Than Gola-Kanneh Clinic,Public,Clinic,"[-10.897880,7.107250]",1204,Active,GOL,Rural,Northwestern Region,Reporting
Greenville District,Sinoe,LBR-39-3902-03,St Joseph Catholic Clinic,Faith Based,Clinic,"[-9.043760,5.021890]",3902,Active,Donor,Rural,Southeastern A Region,Reporting
Greenville District,Sinoe,LBR-39-3902-01,F J Grante Hospital,Public,Hospital,"[-9.036790,5.008460]",3902,Active,GOL,Rural,Southeastern A Region,Reporting
Greenville District,Sinoe,LBR-39-3902-02,Lexington Clinic,Public,Clinic,"[-9.038520,5.041320]",3902,Active,GOL,Rural,Southeastern A Region,Reporting
Harper District,Maryland,LBR-27-2724-04,Litter Wlebo Clinic,Public,Clinic,"[-7.662601,4.576206]",2724,Active,GOL,Rural,Southeastern B Region,Reporting
Harper District,Maryland,LBR-27-2724-06,Rock Town Clinic,Public,Clinic,"[-7.781980,4.397120]",2724,Active,GOL,Rural,Southeastern B Region,Reporting
Harper District,Maryland,LBR-27-2724-07,Sacred Heart Clinic,Faith Based,Clinic,"[-7.708438,4.379560]",2724,Active,Donor,Urband,Southeastern B Region,Reporting
Harper District,Maryland,LBR-27-2724-05,Pullah Clinic,Public,Clinic,"[-7.641400,4.403480]",2724,Active,GOL,Rural,Southeastern B Region,Reporting
Harper District,Maryland,LBR-27-2724-01,JJ Dossen Hospital,Public,Hospital,"[-7.709410,4.377990]",2724,Active,GOL,Urband,Southeastern B Region,Reporting
Harper District,Maryland,LBR-27-2724-02,Cavalla Clinic,Public,Clinic,"[-7.588630,4.363830]",2724,Active,GOL,Rural,Southeastern B Region,Reporting
Harper District,Maryland,LBR-27-2724-03,Fish Town Clinic,Public,Clinic,"[-7.817750,4.424460]",2724,Active,GOL,Rural,Southeastern B Region,Reporting
Harper District,Maryland,LBR-27-2724-08,Youkudi Clinic,Public,Clinic,"[-7.608170,4.446830]",2724,Active,GOL,Rural,Southeastern B Region,Reporting
Jeade District,Sinoe,LBR-39-3924-01,Diyankpo Clinic,Public,Clinic,"[-8.508040,5.040850]",3924,Active,GOL,Rural,Southeastern A Region,Reporting
Jeade District,Sinoe,LBR-39-3924-03,Tuzon Clinic,Public,Clinic,"[-8.497310,5.095610]",3924,Active,GOL,Rural,Southeastern A Region,Reporting
Jeade District,Sinoe,LBR-39-3924-02,Government Camp Clinic,Public,Clinic,"[-8.438380,5.035670]",3924,Active,GOL,Rural,Southeastern A Region,Reporting
Jedepo District,Sinoe,LBR-39-3922-02,Ducorfree Clinic,Public,Clinic,"[-8.372750,5.263270]",3922,Active,GOL,Rural,Southeastern A Region,Reporting
Jedepo District,Sinoe,LBR-39-3922-01,Doodwicken Clinic,Public,Clinic,"[-8.639333,5.196279]",3922,Active,GOL,Rural,Southeastern A Region,Reporting
Jedepo District,Sinoe,LBR-39-3922-03,Jokoken Clinic,Public,Clinic,"[-8.128910,5.353520]",3922,Active,GOL,Rural,Southeastern A Region,Reporting
Jedepo District,Sinoe,LBR-39-3922-04,Nyennawlicken Clinic,Public,Clinic,"[-8.189770,5.369440]",3922,Active,GOL,Rural,Southeastern A Region,Reporting
Joe River District,RiverCess,LBR-36-3614-02,Gblosseo Clinic,Public,Clinic,"[-9.584630,5.775980]",3614,Active,GOL,Rural,South Central Region,Reporting
Joe River District,RiverCess,LBR-36-3614-01,Rivercess District Referral Hospital,Public,Hospital,"[-9.664400,5.747600]",3614,Active,GOL,Rural,South Central Region,Reporting
Joe River District,RiverCess,LBR-36-3614-03,Kayah Clinic,Public,Clinic,"[-9.623615,5.899695]",3614,Active,GOL,Rural,South Central Region,Reporting
Joe River District,RiverCess,LBR-36-3614-04,Sahyah Clinic,Public,Clinic,"[-9.542400,5.845220]",3614,Active,GOL,Rural,South Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-08,Tamayta Clinic,Public,Clinic,"[-9.466780,6.805970]",0604,Active,GOL,Rural,North Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-09,Wainsue Clinic,Public,Clinic,"[-9.452590,7.119080]",0604,Active,GOL,Rural,North Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-02,Africa Fundamental Baptist Mission Clinic,Faith Based,Clinic,"[-9.461370,6.979590]",0604,Active,Donor,Urband,North Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-01,Charles B Dunbar Hospital,Public,Hospital,"[-9.477240,7.004430]",0604,Active,GOL,Urband,North Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-03,Janyea Clinic,Public,Clinic,"[-9.529700,6.698880]",0604,Active,GOL,Rural,North Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-04,John Mayango,Private,Clinic,"[-9.473250,7.000710]",0604,Active,Private,Rural,North Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-06,Mainowainsue Clinic,Public,Clinic,"[-9.284174,6.793498]",0604,Active,GOL,Rural,North Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-07,Samay Clinic,Public,Clinic,"[-9.442490,6.784340]",0604,Active,GOL,Rural,North Central Region,Reporting
Jorquelleh,Bong,LBR-06-0604-10,Gbenequelleh Clinic,Public,Clinic,"[-9.460188,6.743931]",0604,Active,GOL,Rural,North Central Region,Reporting
Jowein District,RiverCess,LBR-36-3605-01,Bodowhea Clinic,Public,Clinic,"[-9.401410,6.003620]",3605,Active,GOL,Rural,South Central Region,Reporting
Jowein District,RiverCess,LBR-36-3605-02,Larkpasee Clinic,Public,Clinic,"[-9.413000,6.090380]",3605,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-01,CH Rennie Hospital,Public,Hospital,"[-10.348210,6.520220]",2406,Active,GOL,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-04,JJ Korhene Health Care Center,Private,Health Center,"[-10.350690,6.529905]",2406,Active,Private,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-06,Waterfield Primary Health Center,Faith Based,Health Center,"[-10.348738,6.533421]",2406,Active,Donor,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-09,Booker Washington Institute Clinic,Public,Clinic,"[-10.355939,6.529993]",2406,Active,GOL,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-02,Dr Barcolleh Health Center,Private,Health Center,"[-10.355870,6.530390]",2406,Active,Private,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-03,Good Samaritan Mother and Child Health Care Center,Private,Health Center,"[-10.342443,6.542611]",2406,Active,Private,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-05,Kakata Health Center,Public,Health Center,"[-10.334950,6.547720]",2406,Active,GOL,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-27,Prison Level 1 Clinic,Public,Clinic,"[-10.357082,6.543477]",2406,Active,GOL,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-11,Cinta Clinic,Public,Clinic,"[-10.213700,6.688600]",2406,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-14,Diamon Medical Pavilion Clinic,Private,Clinic,"[-10.353472,6.552378]",2406,Active,Private,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-20,Larkay-Ta Clinic,Public,Clinic,"[-10.353220,6.671890]",2406,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-15,Gbaye-Ta Clinic,Public,Clinic,"[-10.260320,6.695870]",2406,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-19,Lango Lappay School Based Clinic,Public,Clinic,"[-10.351940,6.354167]",2406,Active,GOL,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-33,Weala Community Clinic,Private,Clinic,"[-10.205540,6.691450]",2406,Active,Private,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-34,Yeamai Clinic,Public,Clinic,"[-10.285260,6.747320]",2406,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-08,Barbour Hill Community Clinic,Private,Clinic,"[-10.212658,6.745647]",2406,Active,Private,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-26,Planned Parental Association of Liberia Clinic,Private,Clinic,"[-10.340000,6.520000]",2406,Active,Private,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-17,KRTTI Clinic,Public,Clinic,"[-10.361295,6.533335]",2406,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-30,Tucker-Ta Clinic,Public,Clinic,"[-10.246580,6.631050]",2406,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-18,KRTTI School Based Clinic,Public,Clinic,"[-10.360420,6.533373]",2406,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-22,Modern Medical Clinic,Private,Clinic,"[-10.353113,6.530049]",2406,Active,Private,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-31,Vellay-Ta Clinic,Public,Clinic,"[-10.345605,6.542418]",2406,Active,GOL,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-32,Weala  United Methodist Clinic,Faith Based,Clinic,"[-10.205540,6.691450]",2406,Active,Donor,Rural,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-21,Ma. Cynthia Health Care Center,Private,Health Center,"[-10.348210,6.538817]",2406,Active,Private,Urband,South Central Region,Reporting
Kakata District,Margibi,LBR-24-2406-35,Divine Healing community Clinic,Private,Clinic,"[-10.325978,6.492842]",2406,Active,Private,Urband,South Central Region,Reporting
Karluway 1 District,Maryland,LBR-27-2708-02,Pougbaken Clinic,Public,Clinic,"[-7.755650,4.755520]",2708,Active,GOL,Rural,Southeastern B Region,Reporting
Karluway 1 District,Maryland,LBR-27-2708-01,Edith H. Wallace Health Center,Public,Health Center,"[-7.734030,4.803030]",2708,Active,GOL,Rural,Southeastern B Region,Reporting
Karluway 2 District,Maryland,LBR-27-2710-03,Tarworken Clinic,Public,Clinic,"[-7.641260,4.758290]",2710,Active,GOL,Rural,Southeastern B Region,Reporting
Karluway 2 District,Maryland,LBR-27-2710-04,Yediaken Clinic,Public,Clinic,"[-7.664490,4.676590]",2710,Active,GOL,Rural,Southeastern B Region,Reporting
Karluway 2 District,Maryland,LBR-27-2710-01,Boniken Clinic,Public,Clinic,"[-7.681560,4.641500]",2710,Active,GOL,Rural,Southeastern B Region,Reporting
Karluway 2 District,Maryland,LBR-27-2710-02,Manolu Clinic,Public,Clinic,"[-7.719010,4.719540]",2710,Active,GOL,Rural,Southeastern B Region,Reporting
Klay,Bomi,LBR-03-0302-15,A-Z Medical Center,Private,Clinic,"[-10.781278,6.738378]",0302,Active,Private,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-09,God’s Gift Clinic,Private,Clinic,"[-10.974440,6.716340]",0302,Active,Private,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-05,Gonzipo Clinic,Public,Clinic,"[-10.925470,6.662230]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-11,Gayah Hill Clinic,Public,Clinic,"[-10.711709,6.760699]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-08,Gogehn Clinic,Public,Clinic,"[-10.733572,6.733999]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-07,Golodee Lassana Clinic,Public,Clinic,"[-11.014320,6.687240]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-06,Gonjeh Clinic,Public,Clinic,"[-10.835060,6.647950]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-04,Malema Clinic,Public,Clinic,"[-10.973540,6.674965]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-03,Sasstown Clinic,Public,Clinic,"[-10.888900,6.583730]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-16,Gbah Jarkeh Community Clinic,Public,Clinic,"[-10.968887,6.712050]",302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-12,Mano Clinic,Concession,Clinic,"[-10.945610,6.739270]",0302,Active,Donor,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-01,Klay Health Center,Public,Health Center,"[-10.871975,6.537951]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-02,Besao Clinic,Public,Clinic,"[-10.913403,6.731802]",0302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-14,Zordee Clinic,Public,Clinic,"[-10.782478,6.676014]",302,Active,GOL,Rural,Northwestern Region,Reporting
Klay,Bomi,LBR-03-0302-13,Refuge Place Int’l Annex 4 (Lowa Clinic),Private,Clinic,"[-10.759480,6.740180]",302,Active,Private,Rural,Northwestern Region,Reporting
Kokoyah,Bong,LBR-06-0618-01,Bah-ta Clinic,Public,Clinic,"[-9.295110,6.710750]",0618,Active,GOL,Rural,North Central Region,Reporting
Kokoyah,Bong,LBR-06-0618-02,Botota Clinic,Public,Clinic,"[-9.376900,6.653410]",0618,Active,GOL,Rural,North Central Region,Reporting
Kokoyah,Bong,LBR-06-0618-04,Rock Crusher Clinic,Public,Clinic,"[-9.508674,6.509709]",0618,Active,GOL,Rural,North Central Region,Reporting
Kokoyah,Bong,LBR-06-0618-05,Yolota Clinic,Public,Clinic,"[-9.196075,6.671726]",0618,Active,GOL,Rural,North Central Region,Reporting
Kokoyah,Bong,LBR-06-0618-06,Sayweh Clinic,Public,Clinic,"[-9.265230,6.627250]",0618,Active,GOL,Rural,North Central Region,Reporting
Kokoyah,Bong,LBR-06-0618-03,Gbecohn Clinic,Public,Clinic,"[-9.433510,6.668620]",0618,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-02,Bolahun Health Center,Public,Health Center,"[-10.162300,8.228220]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-05,Fassavolu Clinic,Public,Clinic,"[-10.065840,8.391820]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-03,Faith Clinic,Faith Based,Clinic,"[-9.492610,7.616391]",2104,Active,Donor,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-06,Gondalahun Clinic,Public,Clinic,"[-10.055560,7.965340]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-04,Fangoda Clinic,Public,Clinic,"[-10.173490,8.221480]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-07,Korworhun Clinic,Public,Clinic,"[-10.150390,8.316280]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-08,Mbalotahun clinic,Public,Clinic,"[-10.153182,8.219949]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-01,Kolahun Hospital,Public,Hospital,"[-10.084100,8.294810]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-09,Nyandemoilahun Clinic,Public,Clinic,"[-9.960120,8.442130]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-13,Maweyansu clinic,Public,Clinic,"[-10.544928,8.991400]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-10,Hangala Clinic,Public,Clinic,"[-10.812222,8.785017]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-12,Boaworhun Clinic,Public,Clinic,"[-10.240000,8.364117]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-15,Wanwoma Rubber farm clinic,Concession,Clinic,"[-10.105506,8.268245]",2104,Active,Donor,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-11,kpandehewa Clinic,Public,Clinic,"[-9.940243,8.475740]",2104,Active,GOL,Rural,North Central Region,Reporting
Kolahun District,Lofa,LBR-21-2104-14,Quessemba clinic,Public,Clinic,"[-10.107707,8.364262]",2104,Active,GOL,Rural,North Central Region,Reporting
Kongba District,Gbarpolu,LBR-45-4507-01,Kungbor Clinic,Public,Clinic,"[-10.575890,7.647060]",4507,Active,GOL,Rural,Northwestern Region,Reporting
Konobo District,Grand Gedeh,LBR-15-1506-01,Konobo Health Center,Public,Health Center,"[-7.855010,5.764190]",1506,Active,GOL,Rural,Southeastern A Region,Reporting
Konobo District,Grand Gedeh,LBR-15-1506-02,Boundary Clinic,Public,Clinic,"[-7.983480,5.874122]",1506,Active,GOL,Rural,Southeastern A Region,Reporting
Konobo District,Grand Gedeh,LBR-15-1506-03,Tarloken Clinic,Public,Clinic,"[-7.577180,5.838000]",1506,Active,GOL,Rural,Southeastern A Region,Reporting
Konobo District,Grand Gedeh,LBR-15-1506-04,Billibo Clinic,Public,Clinic,"[-7.627473,5.688182]",1506,Active,GOL,Rural,Southeastern B Region,Reporting
Kpaai,Bong,LBR-06-0624-01,Kpaai Clinic,Public,Clinic,"[-9.230530,6.976720]",0624,Active,GOL,Rural,North Central Region,Reporting
Kpaai,Bong,LBR-06-0624-02,Palala Clinic,Public,Clinic,"[-9.287000,7.001890]",0624,Active,GOL,Rural,North Central Region,Reporting
Kpaai,Bong,LBR-06-0624-03,Yila Clinic,Public,Clinic,"[-9.112310,6.859390]",0624,Active,GOL,Rural,North Central Region,Reporting
Kpaai,Bong,LBR-06-0624-04,Zebay Clinic,Public,Clinic,"[-9.200220,6.924790]",0624,Active,GOL,Rural,North Central Region,Reporting
Kpaai,Bong,LBR-06-0624-05,Zowienta Clinic,Public,Clinic,"[-9.184650,6.819050]",0624,Active,GOL,Rural,North Central Region,Reporting
Kpanyan District,Sinoe,LBR-39-3930-04,Kilo Town Clinic,Public,Clinic,"[-8.972230,5.092570]",3930,Active,GOL,Rural,Southeastern A Region,Reporting
Kpanyan District,Sinoe,LBR-39--3930-02,GVL Kpanyan Clinic,Concession,Clinic,"[-8.940020,5.088100]",3930,Active,Donor,Rural,Southeastern A Region,Reporting
Kpanyan District,Sinoe,LBR-39--3930-05,Panama Clinic,Public,Clinic,"[-8.939440,4.991670]",3930,Active,GOL,Rural,Southeastern A Region,Reporting
Kpanyan District,Sinoe,LBR-39--3930-07,Sinoe Rubber Company Clinic,Public,Clinic,"[-8.996360,5.133010]",3930,Active,GOL,Rural,Southeastern A Region,Reporting
Kpanyan District,Sinoe,LBR-39--3930-03,Kabada Clinic,Public,Clinic,"[-8.849320,4.989640]",3930,Active,GOL,Rural,Southeastern A Region,Reporting
Kpanyan District,Sinoe,LBR-39--3930-01,Drapoh Clinic,Public,Clinic,"[-8.776960,5.079200]",3930,Active,GOL,Rural,Southeastern A Region,Reporting
